claim_id,substance_canonical,claim_text_exact,conditions_of_use,requires_source_of,on_hold,claim_category,reg_reference,health_relationship
GB-ALPHA-LINOLENIC-ACID-ALA--0001,Alpha-linolenic acid (ALA),ALA contributes to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which is at least a source of ALA as referred to in the claim SOURCE OF OMEGA 3 FATTY ACIDS as listed in the Annex to Regulation (EC) No 1924/2006. 
Information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 2 g of ALA.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
GB-01938,Activated charcoal,Activated charcoal contributes to reducing excessive flatulence after eating,The claim may be used only for food which contains 1 g of activated charcoal per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with 1 g which should be taken at least 30 minutes before and 1 g shortly after the meal.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of excessive intestinal gas accumulation
GB-00819,Barley grain fibre,Barley grain fibre contributes to an increase in faecal bulk,The claim may be used only for food which is high in that fibre as referred to in the claim HIGH FIBRE as listed in the Annex to Regulation (EC) No 1924/2006.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,increase in faecal bulk
GB-BETA-GLUCANS-0005,Beta-glucans,Beta-glucans contribute to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which contains at least 1 g of beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these sources per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these beta-glucans.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
GB-04325,Betaine,Betaine contributes to normal homocysteine metabolism,"The claim may be used only for food which contains at least 500 mg of betaine per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 1,5 g of betaine.       In order to bear the claim information shall be given to the consumer that a daily intake in excess of 4 g may significantly increase blood cholesterol levels.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal homocysteine metabolism
GB-BIOTIN-0008,Biotin,Biotin contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,energy-yielding metabolism
GB-00116,Biotin,Biotin contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,function of the nervous system
GB-BIOTIN-0010,Biotin,Biotin contributes to normal macronutrient metabolism,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal macronutrient metabolism
GB-00120,Biotin,Biotin contributes to normal psychological function,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal psychological functions
GB-BIOTIN-0013,Biotin,Biotin contributes to the maintenance of normal hair,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal hair
